"County","PriceAverage","Ns"
"Buncombe, North Carolina",297.434839538653,45
"Bureau, Illinois",354.854392145463,3
"Burke, North Carolina",82.6358516656063,1
"Burleigh, North Dakota",313.877786923352,10
"Burlington, New Jersey",287.60451340548,70
"Burnet, Texas",357.827056549307,3
"Burt, Nebraska",204.818564637363,3
"Butler, Alabama",306.449952077361,2
"Butler, Iowa",250,1
"Butler, Kansas",359.446252016694,7
"Butler, Missouri",257.959186528081,3
"Butler, Ohio",244.488845669211,37
"Butler, Pennsylvania",246.616192037652,9
"Butte, California",179.96622965205,406
"Butte, Nebraska",91.5058014491759,2
"Butte, South Dakota",385.713914066995,2
"Butts, Georgia",314.898434034117,4
"Cabarrus, North Carolina",287.484371724309,18
"Cabell, West Virginia",277.103734500591,18
"Cache, Utah",272.624445576729,9
"Caddo, Louisiana",267.356193883982,28
"Caddo, Oklahoma",87.266020132402,2
"Calaveras, California",274.36799863398,31
"Calcasieu, Louisiana",261.760485476815,18
"Caldwell, North Carolina",315,2
"Caldwell, Texas",306.786873034921,26
"Caledonia, Vermont",341.912862664406,3
"Calhoun, Alabama",275.425442972059,10
"Calhoun, Georgia",500,1
"Calhoun, Michigan",203.799638114026,14
"Calhoun, Mississippi",203.72062329013,1
"Callaway, Missouri",228.156425171568,11
"Calloway, Kentucky",236.326255068858,10
"Calumet, Wisconsin",315.83652114604,13
"Calvert, Maryland",260.933547560238,9
"Cambria, Pennsylvania",288.139281695518,11
"Camden, Georgia",250.558329636392,3
"Camden, Missouri",236.51998489691,5
"Camden, New Jersey",283.696340200988,89
"Camden, North Carolina",245.226419442677,8
"Cameron, Texas",339.736700096839,14
"Campbell, Kentucky",219.995919341645,11
"Campbell, Tennessee",279.105355661617,2
"Campbell, Wyoming",225.390993354171,8
"Canadian, Oklahoma",258.981439131738,104
"Candler, Georgia",173.579370609786,1
"Canyon, Idaho",230.309984680905,15
"Cape Girardeau, Missouri",331.293195855578,8
"Cape May, New Jersey",276.206989953942,17
"Cape, Missouri",331.293195855578,8
"Cape, New Jersey",276.206989953942,17
"Carbon, Pennsylvania",206.990177050872,5
"Carbon, Utah",137.551317227877,2
"Carlton, Minnesota",189.603988254415,3
"Caroline, Maryland",228.681342743901,5
"Caroline, Virginia",268.014546284815,1
"Caroll, Maryland",375,1
"Carroll, Arkansas",292.089204566927,2
"Carroll, Georgia",230.42667175941,8
"Carroll, Maryland",352.611530752669,16
"Carroll, Missouri",192.751204864135,2
"Carroll, New Hampshire",176.861227564932,5
"Carroll, Ohio",120,1
"Carteret, North Carolina",400,1
"Carter, Kentucky",273.895460303874,6
"Carter, Oklahoma",344.907961952226,5
"Carter, Tennessee",334.421751993986,21
"Carver, Minnesota",275.954522806177,10
"Cascade, Montana",318.957018414508,8
"Cass, Illinois",400,1
"Cass, Michigan",350.833333333333,6
"Cass, Minnesota",361.283280641802,1
"Cass, Missouri",265.506079160975,118
"Cass, Nebraska",512.046411593407,1
"Cass, North Dakota",338.773329517008,20
"Cass, Texas",230.808022261919,1
"Castle, Delaware",327.601942609721,99
"Catawba, North Carolina",321.205721456981,28
"Catoosa, Georgia",129.766317005436,3
"Cattaraugus, New York",219.468314096489,3
"Cavalier, North Dakota",450,1
"Cayuga, New York",405.383085710752,5
"Cecil, Maryland",276.585820852651,14
"Cedar, Iowa",121.307622393018,2
"Centre, Pennsylvania",383.826785341198,23
"Cerro Gordo, Iowa",328.106213789146,5
"Cerro, Iowa",328.106213789146,5
"Chambers, Alabama",162.899904154722,2
"Chambers, Texas",244.760305492811,13
"Champaign, Illinois",285.83228188211,19
"Champaign, Ohio",203.379739015862,6
"Chariton, Missouri",115.177048269029,1
"Charles City, Virginia",85.7646548111408,1
"Charles, Louisiana",240,1
"Charles, Maryland",326.659995300096,9
"Charles, Missouri",330.216134673473,12
"Charleston, South Carolina",293.817784206973,92
"Charles, Virginia",85.7646548111408,1
"Charlevoix, Michigan",215.693614430934,3
"Charlotte, Florida",121.865461404468,3
"Charlton, Georgia",300,1
"Chase, Nebraska",102.409282318681,1
"Chatham, Georgia",281.192752498454,43
"Chatham, North Carolina",267.180925109812,17
"Chautauqua, New York",296.06678201408,21
"Chaves, New Mexico",185.018783122046,2
"Cheatham, Tennessee",279.15265420859,2
"Cheboygan, Michigan",245,2
"Chelan, Washington",206.869755166021,14
"Chemung, New York",342.153293128866,10
"Cherokee, Georgia",322.579370609786,5
"Cherokee, Iowa",350,1
"Cherokee, Kansas",196.273772576155,2
"Cherokee, Oklahoma",275.996635329694,5
"Cherokee, South Carolina",215.445364667301,3
"Cherokee, Texas",251.834752063835,3
"Cheshire, New Hampshire",326.014392590095,10
"Chesterfield, South Carolina",176.124278342298,1
"Chesterfield, Virginia",303.567927725224,20
"Chester, Pennsylvania",308.718282907042,72
"Chester, South Carolina",392.320037272816,4
"Chester, Tennessee",142.1486201227,1
"Cheyenne, Colorado",245.712779858757,5
"Cheyenne, Nebraska",248.857019001846,1
"Chicot, Arkansas",856.795000062986,1
"Childress, Texas",410,2
"Chilton, Alabama",342.835919489966,5
"Chippewa, Michigan",270,2
"Chippewa, Wisconsin",302.323150142604,16
"Chisago, Minnesota",211.144189628034,6
"Chittenden, Vermont",330.181872219262,67
"Choctaw, Alabama",194.815464397037,3
"Chowan, North Carolina",400,2
"Christian, Illinois",309.426355200219,3
"Christian, Kentucky",281.120412373208,5
"Christian, Missouri",290.786932733529,47
"Cibola, New Mexico",400,1
"city, Missouri",297.606299345634,153
"city, Virginia",277.214453994477,29
"city), Virginia",286.091851770046,113
"City, Virginia",85.7646548111408,1
"Clackamas, Oregon",213.044936424435,378
"Claiborne, Mississippi",60,1
"Claiborne, Tennessee",350,1
"Clair, Alabama",322.933955911172,5
"Claire, Wisconsin",280.823412204536,15
"Clair, Illinois",300.489143610486,40
"Clair, Michigan",242.897695460358,20
"Clair, Missouri",253.877559584242,1
"Clallam, Washington",213.333333333333,3
"Clara, California",231.343957807022,688
"Clare, Michigan",270.832660349406,2
"Clarendon, South Carolina",156.388743380229,3
"Clarion, Pennsylvania",190.724928674774,2
"Clark, Arkansas",181.156181820472,3
"Clarke, Alabama",167.739942492833,2
"Clarke, Iowa",138.637282734878,1
"Clarke, Mississippi",100,1
"Clarke, Virginia",262.5,2
"Clark, Illinois",378.24638969092,2
"Clark, Indiana",188.540706375862,8
"Clark, Kentucky",249.306945206507,2
"Clark, Montana",243.487821661887,8
"Clark, Nevada",242.400923255889,328
"Clark, Ohio",345.601076716862,12
"Clark, Washington",197.874968021132,75
"Clark, Wisconsin",255,2
"Clatsop, Oregon",183.144576992688,4
"Clay, Alabama",200,1
"Clay, Arkansas",268.468545461417,2
"Clay, Illinois",285.348832000823,1
"Clay, Indiana",380,1
"Clay, Minnesota",369.173304378372,6
"Clay, Mississippi",264.825389556331,2
"Clay, Missouri",260.938207557652,133
"Clay, North Carolina",290,1
"Clayton, Georgia",248.187281461731,12
"Clear, Colorado",320,1
"Clear Creek, Colorado",320,1
"Clearfield, Pennsylvania",358.406730860023,5
"Clearwater, Minnesota",172.039657448477,2
"Cleburne, Arkansas",171.359000012597,1
"Clermont, Ohio",260.194071692723,12
"Cleveland, Arkansas",244.477018046246,1
"Cleveland, North Carolina",200.675357741443,4
"Cleveland, Oklahoma",281.062555637882,119
"Clinch, Georgia",200,1
"Clinton, Illinois",250.483362518028,7
"Clinton, Indiana",311.439063786938,3
"Clinton, Michigan",245.384005428192,39
"Clinton, Missouri",338.756024320674,1
"Clinton, New York",240.442335637139,10
"Clinton, Pennsylvania",316,5
"Coahoma, Mississippi",117.906874430043,2
"Cobb, Georgia",323.340420217453,52
"Cochise, Arizona",200.128614969171,5
"Coconino, Arizona",263.395652378383,31
"Coffee, Georgia",265.17292768017,8
"Coffee, Tennessee",271.611465092025,4
"Cole, Missouri",216.63563076525,9
"Coles, Illinois",250,1
"Colfax, Nebraska",292.017404347528,2
"Colfax, New Mexico",200,1
"Colleton, South Carolina",276.846192867871,2
"Collier, Florida",276.857488455837,54
"Collin & Denton, Texas",281.132970400265,38
"Collin, Texas",274.6760078629,452
", Colorado",210.86836639282,38
"Colorado, Texas",60,1
"Colquitt, Georgia",138.501872799058,4
"Columbia, Georgia",326.162368877039,4
"Columbiana, Ohio",260.386904043422,12
"Columbia, Oregon",197.22547256725,5
"Columbia, Pennsylvania",346.767247340194,13
"Columbus, North Carolina",137.726419442677,2
"Colusa, California",134.593913901586,15
"Comal, Texas",276.614168226436,206
"Comanche, Oklahoma",264.50252112145,14
"Comanche, Texas",230.808022261919,1
"Conecuh, Alabama",400,1
"Contra, California",238.826888454421,526
"Contra Costa, California",238.826888454421,526
"Conway, Arkansas",450,1
"Cooke, Texas",276.969626714303,1
"Cook, Illinois",308.26505372625,808
"Cooper, Missouri",88.0765663233752,1
"Coos, New Hampshire",201.891525867166,2
"Coos, Oregon",154.666666666667,3
"Cortland, New York",263.679845135826,5
"Coryell, Texas",474.005674922005,3
"Costa, California",238.826888454421,526
"Coweta, Georgia",222.565672238828,10
"Cowley, Kansas",108.575847558551,6
"Cowlitz, Washington",166.791328296049,17
"Craighead, Arkansas",283.123223150406,15
"Craven, North Carolina",235.468006588973,4
"Crawford, Arkansas",401.983727294486,5
"Crawford, Iowa",250,3
"Crawford, Kansas",295.579303156093,4
"Crawford, Michigan",200,1
"Crawford, Pennsylvania",322.5,2
"Creek, Colorado",320,1
"Creek, Oklahoma",236.656960074846,3
"Crenshaw, Alabama",195.479884985666,1
"Crittenden, Arkansas",270.603443184252,4
"Crockett, Tennessee",426.445860368099,1
"Croix, Wisconsin",271.984669990151,15
"Crook, Wyoming",250,1
"Cross, Arkansas",100,1
"Crosse, Wisconsin",324.406009347718,18
"Crow, Minnesota",265.257092163406,7
"Crow Wing, Minnesota",265.257092163406,7
"Cruz, Arizona",283.547691615284,3
"Cruz, California",215.285125457082,585
"Cullman, Alabama",306.289990415472,6
"Culpeper, Virginia",120,1
"Cumberland, Illinois",378.24638969092,2
"Cumberland, Maine",274.937961539137,62
"Cumberland, New Jersey",167.278720689437,21
"Cumberland, North Carolina",262.335863844163,24
"Cumberland, Pennsylvania",264.656936311965,17
"Cumberland, Tennessee",250,2
"Curry, Oregon",181.418241890833,3
"Custer, Oklahoma",341.814455629112,3
"Cuyahoga, Ohio",277.86977760133,167
"Dade, Georgia",86.7896853048928,1
"Dakota, Minnesota",266.440342775133,46
"Dale, Alabama",226.024258556629,12
"Dallam, Texas",136.87170963761,3
"Dallas, Alabama",273.987368212742,4
"Dallas, Arkansas",100,1
"Dallas[citation needed], Texas",314.898744643195,9
"Dallas[citation, Texas",314.898744643195,9
"Dallas, Iowa",294.249225019082,79
"Dallas, Texas",271.580715034022,448
"Dane, Wisconsin",273.767653323496,9
"Dare, North Carolina",333.721110936506,4
