"State","AveragePrice_2010-09","AveragePrice_2010-10","AveragePrice_2010-11","AveragePrice_2010-12","AveragePrice_2011-01","AveragePrice_2011-02","AveragePrice_2011-03","AveragePrice_2011-04","AveragePrice_2011-05","AveragePrice_2011-06","AveragePrice_2011-07","AveragePrice_2011-08","AveragePrice_2011-09","AveragePrice_2011-10","AveragePrice_2011-11","AveragePrice_2011-12","AveragePrice_2012-01","AveragePrice_2012-02","AveragePrice_2012-03","AveragePrice_2012-04","AveragePrice_2012-05","AveragePrice_2012-06","AveragePrice_2012-07","AveragePrice_2012-08","AveragePrice_2012-09","AveragePrice_2012-10","AveragePrice_2012-11","AveragePrice_2012-12","AveragePrice_2013-01","AveragePrice_2013-02","AveragePrice_2013-03","AveragePrice_2013-04","AveragePrice_2013-05","UserPer","Population","PercentagePopulation","Weight"
"Kansas",170.417177941176,144.161357142857,150.85088255814,159.642247368421,144.677890909091,167.26749,166.625838461538,81.7271235294118,176.3506125,163.600266666667,140.940841176471,165.52177826087,195.577730769231,166.1953,167.990846666667,161.988486666667,174.507377777778,193.306725,163.822892857143,216.629325806452,217.4196,203.947957142857,192.381716981132,214.710925,226.18736875,178.000360465116,172.469353225806,178.069213207547,166.005736507937,225.729695555556,188.727305084746,212.202354545455,217.611376923077,9.56,2885905,0.91,0.00764355162094675
"Kentucky",147.812968253968,166.46856,151.912170588235,145.72029,139.96190625,146.436113333333,167.137472222222,196.382607142857,178.960082352941,103.049129411765,148.294215789474,181.575036363636,159.6698,198.690247619048,193.60141,225.846664705882,219.382528571429,246.001928571429,158.151483333333,191.7275625,175.584054054054,189.650493442623,176.171049333333,219.117380327869,210.93573125,190.339306349206,220.764066666667,200.855676699029,210.293184269663,214.055203921569,214.969023595506,204.6805703125,194.030038461538,8.8,4380415,1.39,0.0107471519871512
"Louisiana",174.18347,196.505325,150.719821428571,137.1168,181.18587,139.472042857143,249.585153846154,252.70068,198.14148125,195.813791666667,193.178861111111,186.900347058824,166.9822,305.4022,190.62625,187.881391666667,203.980785714286,245.933827272727,151.376247826087,206.118771428571,215.321663333333,221.145569565217,242.053139705882,233.35445862069,242.859983636364,214.85513559322,231.279230681818,238.199580722892,225.554890666667,232.536337662338,210.120656321839,247.2989,215.97254516129,8.58,4601893,1.45,0.0109307813826151
"Maine",146.457027027027,93.6948363636364,129.11678,143.444161538462,167.984436363636,138.851116666667,125.458538888889,215.204681818182,128.009458823529,116.1045,150.8352,171.292773333333,159.188915384615,129.028909090909,162.2435,182.300363636364,62.84035,143.63532,142.843175,209.868207692308,170.790211111111,229.580971428571,162.900058064516,164.210266666667,222.948175,144.917479310345,170.292638709677,157.07695,159.693153333333,153.28523125,170.746622580645,152.909248,152.07932,14.13,1329192,0.42,0.0052141962216275
"Maryland",174.08625,182.288418604651,136.988112,232.389679411765,179.525006060606,201.420244444444,178.498377272727,193.459806666667,158.616026923077,187.495804545455,224.710496551724,176.756767391304,156.333693548387,223.413542857143,244.0098,164.750447368421,185.802978378378,163.341633333333,242.665973684211,222.990861428571,228.759620833333,239.165244047619,242.239863302752,206.816624778761,266.172097560976,228.418551219512,228.464501769911,216.220825,222.970939285714,223.450406716418,222.800776433121,231.767735384615,217.658501834862,9.96,5884563,1.85,0.0161892595254454
"Massachusetts",178.375787248322,197.682569318182,183.105290697674,203.192684848485,159.626341860465,159.4521875,196.672934545455,189.350006153846,162.17309787234,167.861190566038,197.950904761905,179.0963,160.39685,210.626878947368,215.138419148936,182.033793939394,214.445692,218.324733333333,247.529581443299,217.937202439024,220.744868103448,224.115143801653,224.376388700565,205.119806741573,218.52826302521,212.794815909091,203.75078989899,204.487383597884,209.261814553991,221.457997175141,210.834406122449,205.146860732984,211.82439516129,15.89,6646144,2.09,0.029178710939216
"Michigan",180.927555603448,166.010363768116,182.793864444444,204.382007272727,184.440972727273,149.984480851064,196.508643076923,144.98956,157.2915375,139.027618181818,135.985691836735,194.789247619048,185.720455737705,199.69805,206.902295,168.804663636364,196.267067741935,159.397242222222,191.888511267606,197.303767241379,194.795277678571,199.029959398496,190.216972081218,190.476438690476,183.681040666667,193.13047875,187.907062301587,194.659038248848,178.114160311284,202.439262631579,196.925027232143,201.249421393035,199.743071698113,13.2,9883360,3.16,0.0366485614525876
"Minnesota",145.24220877193,202.038040540541,189.547488235294,216.287819512195,114.630042307692,188.04495,148.18183125,191.33904,80.2565466666667,147.901712,156.956842424242,190.922488636364,205.786445652174,190.038929166667,161.762822222222,216.241060606061,208.516282051282,185.794092,257.038489285714,245.252250793651,212.453858139535,203.006076666667,207.683603409091,205.274395876289,208.264981707317,211.980600900901,207.780071875,219.25011037037,221.099206299213,210.236763636364,215.218535849057,215.76235,207.102841860465,10.93,5379139,1.7,0.0163254440053349
"Mississippi",150.13425,207.383983333333,180.079185714286,190.03344,152.29682,212.841242857143,231.262888888889,132.629577777778,226.110342857143,231.18018,201.17806,250.344457142857,173.329471428571,234.8843,235.72568,82.593625,161.118775,103.97485,225.551785714286,202.042261538462,249.972421428571,203.39404,224.618896153846,230.101085185185,243.01602173913,210.0683,198.614517241379,230.243778787879,213.372575862069,265.70314375,234.664747058824,205.027146428571,238.142817142857,9.76,2984926,0.95,0.00814646772603548
"Missouri",141.529010344828,161.780212820513,165.557447692308,123.342387096774,160.681567741935,103.96515,127.161162068966,173.141257894737,139.287316666667,176.277188,150.949386363636,140.595073684211,139.372259259259,180.955427272727,146.247528571429,172.130025,183.776633333333,196.822234615385,167.743822580645,201.276361403509,220.504146774194,212.144364473684,207.913644859813,200.890888764045,191.166744927536,189.067080412371,198.920936440678,187.217429906542,200.769039534884,205.329004597701,196.899946788991,189.956464130435,198.60106,10.09,6021988,1.91,0.016932475341823
