"Month","State","PriceIndex","Adjusted"
"2013-01","Colorado",193.692580981595,187.319921013928
"2013-02","Colorado",184.255337692308,182.569879798867
"2013-03","Colorado",172.218160583942,178.960612395375
"2013-04","Colorado",177.393804109589,182.21334105603
"2013-05","Colorado",197.147602727273,191.306836221979
"2010-09","Washington",149.903279098361,155.920025055727
"2010-10","Washington",183.235344155844,169.412431899426
"2010-11","Washington",151.405645454545,176.88809278576
"2010-12","Washington",221.906465217391,186.15317401378
"2011-01","Washington",162.094639393939,179.531394551323
"2011-02","Washington",174.415004166667,175.099764569838
"2011-03","Washington",165.592675,173.49853908339
"2011-04","Washington",189.47735,174.683212702873
"2011-05","Washington",167.601684090909,170.703415955789
"2011-06","Washington",154.307527777778,168.402916666769
"2011-07","Washington",183.295415151515,171.523750795563
"2011-08","Washington",180.245213461538,169.712565412929
"2011-09","Washington",151.52268974359,164.387671945578
"2011-10","Washington",156.536683333333,167.500029868832
"2011-11","Washington",197.824109677419,178.135616456023
"2011-12","Washington",168.654509090909,184.417062444984
"2012-01","Washington",197.383081132075,194.155491794946
"2012-02","Washington",214.188187755102,199.399475111065
"2012-03","Washington",193.203875,195.425172335623
"2012-04","Washington",173.334865909091,192.297456054942
"2012-05","Washington",207.103092592593,197.859901519722
"2012-06","Washington",201.606122680412,200.99349383481
"2012-07","Washington",210.227126666667,199.822409177924
"2012-08","Washington",186.957880357143,193.083452572385
"2012-09","Washington",180.271803,189.918146530255
"2012-10","Washington",196.260074666667,193.342441348356
"2012-11","Washington",203.789155343511,196.725943793253
"2012-12","Washington",193.614694623656,196.355893949822
"2013-01","Washington",197.090655208333,195.582743453197
"2013-02","Washington",187.989769189189,195.015744612346
"2013-03","Washington",203.640043333333,196.772061491372
"2013-04","Washington",194.61003740458,195.942882731221
"2013-05","Washington",193.861053658537,194.487378814804
"2010-09","California",246.638020587539,243.546323116683
"2010-10","California",230.616251422319,232.253044471029
"2010-11","California",215.076687073864,224.051463296231
"2010-12","California",233.51596353167,220.396484014434
"2011-01","California",204.858422083333,213.76823482542
"2011-02","California",219.554694929006,209.766323446202
"2011-03","California",190.324482828283,205.080544851709
"2011-04","California",216.460055867347,206.189065499675
"2011-05","California",202.160147079038,204.813989824408
"2011-06","California",204.265617090909,202.948412627886
"2011-07","California",206.551370149254,199.931585966717
"2011-08","California",178.293008962264,196.419966360534
"2011-09","California",211.083466802444,199.689794511503
"2011-10","California",198.508522900763,198.890353723525
"2011-11","California",197.164924505929,194.564599591438
"2011-12","California",184.112934889435,186.873656887321
"2012-01","California",190.137235376968,178.578975297742
"2012-02","California",152.493677777778,169.681282511385
"2012-03","California",170.843548307692,171.739566296159
"2012-04","California",183.399628867925,179.125209686365
"2012-05","California",187.027360940326,185.313577727837
"2012-06","California",192.126980608974,188.054454647971
"2012-07","California",185.80519139923,186.811407886651
"2012-08","California",181.55820627451,185.120530844762
"2012-09","California",182.881160650888,185.511700435769
"2012-10","California",192.308819871106,186.952469002886
"2012-11","California",186.522721830986,185.779849104445
"2012-12","California",181.941827848101,183.687204166999
"2013-01","California",179.989062695312,183.110770343639
"2013-02","California",186.251579257362,184.741407468561
"2013-03","California",186.888249215247,186.148267727635
"2013-04","California",187.916517062147,186.410675095531
"2013-05","California",184.022787605634,185.347935034531
